Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
MaggieSimpson_R2 - polya	(1, 0.30120481927710846)	(2, 0.30120481927710846)	(3, 0.30120481927710846)	(4, 0.30120481927710846)	(5, 0.30120481927710846)	(6, 0.30120481927710846)	(7, 0.30120481927710846)	(8, 0.30120481927710846)	(9, 0.30120481927710846)	(10, 0.30120481927710846)	(15, 0.30120481927710846)	(20, 0.30120481927710846)	(25, 0.37650602409638556)	(30, 0.37650602409638556)	(35, 0.37650602409638556)	(40, 0.37650602409638556)	(45, 0.37650602409638556)	(50, 0.37650602409638556)	(55, 0.42168674698795183)	(60, 0.45180722891566266)	(65, 0.45180722891566266)	(70, 0.45180722891566266)	(75, 0.45180722891566266)	(80, 0.45180722891566266)	(85, 0.45180722891566266)	(90, 0.45180722891566266)	(95, 0.45180722891566266)	(100, 0.45180722891566266)	(105, 0.45180722891566266)	(110, 0.45180722891566266)	(115, 0.5120481927710843)	(120, 0.5271084337349398)	(125, 0.5271084337349398)	(130, 0.5271084337349398)	(135, 0.5271084337349398)	(140, 0.5271084337349398)
MaggieSimpson_R2_filtered - polya	(1, 0.30120481927710846)	(2, 0.30120481927710846)	(3, 0.30120481927710846)	(4, 0.30120481927710846)	(5, 0.30120481927710846)	(6, 0.30120481927710846)	(7, 0.30120481927710846)	(8, 0.30120481927710846)	(9, 0.30120481927710846)	(10, 0.30120481927710846)	(15, 0.30120481927710846)	(20, 0.30120481927710846)	(25, 0.37650602409638556)	(30, 0.37650602409638556)	(35, 0.37650602409638556)	(40, 0.37650602409638556)	(45, 0.37650602409638556)	(50, 0.37650602409638556)	(55, 0.42168674698795183)	(60, 0.45180722891566266)	(65, 0.45180722891566266)	(70, 0.45180722891566266)	(75, 0.45180722891566266)	(80, 0.45180722891566266)	(85, 0.45180722891566266)	(90, 0.45180722891566266)	(95, 0.45180722891566266)	(100, 0.45180722891566266)	(105, 0.45180722891566266)	(110, 0.45180722891566266)	(115, 0.5120481927710843)	(120, 0.5271084337349398)	(125, 0.5271084337349398)	(130, 0.5271084337349398)	(135, 0.5271084337349398)	(140, 0.5271084337349398)
MargeSimpson_R1 - polya	(1, 0.0)	(2, 0.07530120481927711)	(3, 0.07530120481927711)	(4, 0.07530120481927711)	(5, 0.07530120481927711)	(6, 0.07530120481927711)	(7, 0.07530120481927711)	(8, 0.07530120481927711)	(9, 0.07530120481927711)	(10, 0.07530120481927711)	(15, 0.07530120481927711)	(20, 0.10542168674698796)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.15060240963855423)	(40, 0.1807228915662651)	(45, 0.22590361445783133)	(50, 0.22590361445783133)	(55, 0.22590361445783133)	(60, 0.22590361445783133)	(65, 0.22590361445783133)	(70, 0.30120481927710846)	(75, 0.30120481927710846)	(80, 0.30120481927710846)	(85, 0.30120481927710846)	(90, 0.30120481927710846)	(95, 0.3313253012048193)	(100, 0.37650602409638556)	(105, 0.4066265060240964)	(110, 0.4969879518072289)	(115, 0.5421686746987951)	(120, 0.677710843373494)	(125, 0.7981927710843374)	(130, 0.8283132530120481)	(135, 0.8283132530120481)	(140, 0.8283132530120482)
MargeSimpson_R1_filtered - polya	(1, 0.0)	(2, 0.07530120481927711)	(3, 0.07530120481927711)	(4, 0.07530120481927711)	(5, 0.07530120481927711)	(6, 0.07530120481927711)	(7, 0.07530120481927711)	(8, 0.07530120481927711)	(9, 0.07530120481927711)	(10, 0.07530120481927711)	(15, 0.07530120481927711)	(20, 0.10542168674698796)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.15060240963855423)	(40, 0.1807228915662651)	(45, 0.22590361445783133)	(50, 0.22590361445783133)	(55, 0.22590361445783133)	(60, 0.22590361445783133)	(65, 0.22590361445783133)	(70, 0.30120481927710846)	(75, 0.30120481927710846)	(80, 0.30120481927710846)	(85, 0.30120481927710846)	(90, 0.30120481927710846)	(95, 0.3313253012048193)	(100, 0.37650602409638556)	(105, 0.37650602409638556)	(110, 0.42168674698795183)	(115, 0.45180722891566266)	(120, 0.5271084337349398)	(125, 0.6475903614457831)	(130, 0.677710843373494)	(135, 0.677710843373494)	(140, 0.677710843373494)
MargeSimpson_R2 - polya	(1, 0.3698224852071006)	(2, 0.4437869822485207)	(3, 0.4437869822485207)	(4, 0.4437869822485207)	(5, 0.5177514792899408)	(6, 0.5177514792899408)	(7, 0.5177514792899408)	(8, 0.5177514792899408)	(9, 0.5177514792899408)	(10, 0.5177514792899408)	(15, 0.5177514792899408)	(20, 0.5177514792899408)	(25, 0.5177514792899408)	(30, 0.5177514792899408)	(35, 0.5473372781065089)	(40, 0.591715976331361)	(45, 0.6213017751479291)	(50, 0.7100591715976331)	(55, 0.7396449704142012)	(60, 0.7396449704142012)	(65, 0.7396449704142012)	(70, 0.7396449704142012)	(75, 0.7396449704142012)	(80, 0.7396449704142012)	(85, 0.7396449704142012)	(90, 0.7396449704142012)	(95, 0.7396449704142012)	(100, 0.7396449704142012)	(105, 0.7396449704142012)	(110, 0.7396449704142012)	(115, 0.7544378698224852)	(120, 0.8136094674556213)	(125, 0.8136094674556213)	(130, 0.8136094674556213)	(135, 0.8284023668639053)	(140, 0.8875739644970414)
MargeSimpson_R2_filtered - polya	(1, 0.37650602409638556)	(2, 0.45180722891566266)	(3, 0.45180722891566266)	(4, 0.45180722891566266)	(5, 0.5271084337349398)	(6, 0.5271084337349398)	(7, 0.5271084337349398)	(8, 0.5271084337349398)	(9, 0.5271084337349398)	(10, 0.5271084337349398)	(15, 0.5271084337349398)	(20, 0.5271084337349398)	(25, 0.5271084337349398)	(30, 0.5271084337349398)	(35, 0.5572289156626506)	(40, 0.6024096385542169)	(45, 0.6325301204819278)	(50, 0.7228915662650602)	(55, 0.7530120481927711)	(60, 0.7530120481927711)	(65, 0.7530120481927711)	(70, 0.7530120481927711)	(75, 0.7530120481927711)	(80, 0.7530120481927711)	(85, 0.7530120481927711)	(90, 0.7530120481927711)	(95, 0.7530120481927711)	(100, 0.7530120481927711)	(105, 0.7530120481927711)	(110, 0.7530120481927711)	(115, 0.7680722891566265)	(120, 0.8283132530120481)	(125, 0.8283132530120481)	(130, 0.8283132530120481)	(135, 0.8433734939759037)	(140, 0.9036144578313253)
PattyBouvier_R1 - polya	(1, 0.07575757575757576)	(2, 0.07575757575757576)	(3, 0.07575757575757576)	(4, 0.07575757575757576)	(5, 0.07575757575757576)	(6, 0.07575757575757576)	(7, 0.07575757575757576)	(8, 0.07575757575757576)	(9, 0.07575757575757576)	(10, 0.07575757575757576)	(15, 0.07575757575757576)	(20, 0.07575757575757576)	(25, 0.07575757575757576)	(30, 0.07575757575757576)	(35, 0.07575757575757576)	(40, 0.13636363636363635)	(45, 0.15151515151515152)	(50, 0.15151515151515152)	(55, 0.15151515151515152)	(60, 0.15151515151515152)	(65, 0.15151515151515152)	(70, 0.15151515151515152)	(75, 0.15151515151515152)	(80, 0.15151515151515152)	(85, 0.15151515151515152)	(90, 0.15151515151515152)	(95, 0.16666666666666669)	(100, 0.22727272727272724)	(105, 0.22727272727272724)	(110, 0.30303030303030304)	(115, 0.30303030303030304)	(120, 0.3787878787878788)	(125, 0.5151515151515151)	(130, 0.6060606060606061)	(135, 0.7272727272727273)	(140, 0.8333333333333334)
PattyBouvier_R1_filtered - polya	(1, 0.07575757575757576)	(2, 0.07575757575757576)	(3, 0.07575757575757576)	(4, 0.07575757575757576)	(5, 0.07575757575757576)	(6, 0.07575757575757576)	(7, 0.07575757575757576)	(8, 0.07575757575757576)	(9, 0.07575757575757576)	(10, 0.07575757575757576)	(15, 0.07575757575757576)	(20, 0.07575757575757576)	(25, 0.07575757575757576)	(30, 0.07575757575757576)	(35, 0.07575757575757576)	(40, 0.13636363636363635)	(45, 0.15151515151515152)	(50, 0.15151515151515152)	(55, 0.15151515151515152)	(60, 0.15151515151515152)	(65, 0.15151515151515152)	(70, 0.15151515151515152)	(75, 0.15151515151515152)	(80, 0.15151515151515152)	(85, 0.15151515151515152)	(90, 0.15151515151515152)	(95, 0.16666666666666669)	(100, 0.22727272727272724)	(105, 0.22727272727272724)	(110, 0.30303030303030304)	(115, 0.30303030303030304)	(120, 0.3787878787878788)	(125, 0.5151515151515151)	(130, 0.6060606060606061)	(135, 0.7272727272727273)	(140, 0.8333333333333334)
PattyBouvier_R2 - polya	(1, 0.1488095238095238)	(2, 0.1488095238095238)	(3, 0.1488095238095238)	(4, 0.1488095238095238)	(5, 0.22321428571428573)	(6, 0.22321428571428573)	(7, 0.22321428571428573)	(8, 0.22321428571428573)	(9, 0.22321428571428573)	(10, 0.22321428571428573)	(15, 0.22321428571428573)	(20, 0.22321428571428573)	(25, 0.22321428571428573)	(30, 0.2529761904761905)	(35, 0.3273809523809524)	(40, 0.37202380952380953)	(45, 0.37202380952380953)	(50, 0.4017857142857143)	(55, 0.505952380952381)	(60, 0.5208333333333334)	(65, 0.5208333333333334)	(70, 0.5208333333333334)	(75, 0.5208333333333334)	(80, 0.5952380952380952)	(85, 0.5952380952380952)	(90, 0.5952380952380952)	(95, 0.5952380952380952)	(100, 0.5952380952380952)	(105, 0.5952380952380952)	(110, 0.5952380952380952)	(115, 0.5952380952380952)	(120, 0.5952380952380952)	(125, 0.5952380952380952)	(130, 0.5952380952380952)	(135, 0.5952380952380952)	(140, 0.6696428571428571)
PattyBouvier_R2_filtered - polya	(1, 0.15151515151515152)	(2, 0.15151515151515152)	(3, 0.15151515151515152)	(4, 0.15151515151515152)	(5, 0.22727272727272727)	(6, 0.22727272727272727)	(7, 0.22727272727272727)	(8, 0.22727272727272727)	(9, 0.22727272727272727)	(10, 0.22727272727272724)	(15, 0.22727272727272724)	(20, 0.22727272727272724)	(25, 0.22727272727272724)	(30, 0.25757575757575757)	(35, 0.33333333333333337)	(40, 0.3787878787878788)	(45, 0.3787878787878788)	(50, 0.40909090909090906)	(55, 0.5151515151515151)	(60, 0.5303030303030303)	(65, 0.5303030303030303)	(70, 0.5303030303030303)	(75, 0.5303030303030303)	(80, 0.6060606060606061)	(85, 0.6060606060606061)	(90, 0.6060606060606061)	(95, 0.6060606060606061)	(100, 0.6060606060606061)	(105, 0.6060606060606061)	(110, 0.6060606060606061)	(115, 0.6060606060606061)	(120, 0.6060606060606061)	(125, 0.6060606060606061)	(130, 0.6060606060606061)	(135, 0.6060606060606061)	(140, 0.6818181818181818)
SelmaBouvier_R1 - polya	(1, 0.07530120481927711)	(2, 0.07530120481927711)	(3, 0.07530120481927711)	(4, 0.07530120481927711)	(5, 0.07530120481927711)	(6, 0.07530120481927711)	(7, 0.15060240963855423)	(8, 0.15060240963855423)	(9, 0.15060240963855423)	(10, 0.15060240963855423)	(15, 0.15060240963855423)	(20, 0.15060240963855423)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.1957831325301205)	(40, 0.22590361445783133)	(45, 0.22590361445783133)	(50, 0.22590361445783133)	(55, 0.24096385542168677)	(60, 0.30120481927710846)	(65, 0.37650602409638556)	(70, 0.37650602409638556)	(75, 0.37650602409638556)	(80, 0.45180722891566266)	(85, 0.45180722891566266)	(90, 0.45180722891566266)	(95, 0.45180722891566266)	(100, 0.45180722891566266)	(105, 0.45180722891566266)	(110, 0.5271084337349398)	(115, 0.5271084337349398)	(120, 0.5271084337349398)	(125, 0.5271084337349398)	(130, 0.5271084337349398)	(135, 0.783132530120482)	(140, 0.8283132530120482)
SelmaBouvier_R1_filtered - polya	(1, 0.07530120481927711)	(2, 0.07530120481927711)	(3, 0.07530120481927711)	(4, 0.07530120481927711)	(5, 0.07530120481927711)	(6, 0.07530120481927711)	(7, 0.15060240963855423)	(8, 0.15060240963855423)	(9, 0.15060240963855423)	(10, 0.15060240963855423)	(15, 0.15060240963855423)	(20, 0.15060240963855423)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.1957831325301205)	(40, 0.22590361445783133)	(45, 0.22590361445783133)	(50, 0.22590361445783133)	(55, 0.24096385542168677)	(60, 0.30120481927710846)	(65, 0.37650602409638556)	(70, 0.37650602409638556)	(75, 0.37650602409638556)	(80, 0.45180722891566266)	(85, 0.45180722891566266)	(90, 0.45180722891566266)	(95, 0.45180722891566266)	(100, 0.45180722891566266)	(105, 0.45180722891566266)	(110, 0.5271084337349398)	(115, 0.5271084337349398)	(120, 0.5271084337349398)	(125, 0.5271084337349398)	(130, 0.5271084337349398)	(135, 0.7078313253012049)	(140, 0.7530120481927711)
SelmaBouvier_R2 - polya	(1, 0.22189349112426035)	(2, 0.2958579881656805)	(3, 0.2958579881656805)	(4, 0.2958579881656805)	(5, 0.2958579881656805)	(6, 0.2958579881656805)	(7, 0.2958579881656805)	(8, 0.2958579881656805)	(9, 0.2958579881656805)	(10, 0.2958579881656805)	(15, 0.3402366863905325)	(20, 0.3698224852071006)	(25, 0.3698224852071006)	(30, 0.3994082840236687)	(35, 0.4437869822485207)	(40, 0.4437869822485207)	(45, 0.4881656804733727)	(50, 0.5177514792899408)	(55, 0.5177514792899408)	(60, 0.6213017751479291)	(65, 0.665680473372781)	(70, 0.680473372781065)	(75, 0.7396449704142012)	(80, 0.7396449704142012)	(85, 0.7396449704142012)	(90, 0.7396449704142012)	(95, 0.7396449704142012)	(100, 0.7396449704142012)	(105, 0.7396449704142012)	(110, 0.7396449704142012)	(115, 0.7396449704142012)	(120, 0.7396449704142012)	(125, 0.7544378698224852)	(130, 0.8136094674556213)	(135, 0.8136094674556213)	(140, 0.8136094674556213)
SelmaBouvier_R2_filtered - polya	(1, 0.22590361445783133)	(2, 0.30120481927710846)	(3, 0.30120481927710846)	(4, 0.30120481927710846)	(5, 0.30120481927710846)	(6, 0.30120481927710846)	(7, 0.30120481927710846)	(8, 0.30120481927710846)	(9, 0.30120481927710846)	(10, 0.30120481927710846)	(15, 0.3463855421686747)	(20, 0.37650602409638556)	(25, 0.37650602409638556)	(30, 0.4066265060240964)	(35, 0.45180722891566266)	(40, 0.45180722891566266)	(45, 0.4969879518072289)	(50, 0.5271084337349398)	(55, 0.5271084337349398)	(60, 0.6325301204819278)	(65, 0.677710843373494)	(70, 0.6927710843373494)	(75, 0.7530120481927711)	(80, 0.7530120481927711)	(85, 0.7530120481927711)	(90, 0.7530120481927711)	(95, 0.7530120481927711)	(100, 0.7530120481927711)	(105, 0.7530120481927711)	(110, 0.7530120481927711)	(115, 0.7530120481927711)	(120, 0.7530120481927711)	(125, 0.7680722891566265)	(130, 0.8283132530120481)	(135, 0.8283132530120481)	(140, 0.8283132530120482)
