Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
MaggieSimpson_R2	(1, 36.088855421686745)	(2, 35.71987951807229)	(3, 36.234939759036145)	(4, 36.015060240963855)	(5, 36.17921686746988)	(6, 36.16566265060241)	(7, 36.49246987951807)	(8, 36.42620481927711)	(9, 36.33132530120482)	(10, 36.3027108433735)	(15, 36.269277108433734)	(20, 36.31686746987952)	(25, 36.19186746987951)	(30, 36.1960843373494)	(35, 36.31114457831325)	(40, 36.20090361445783)	(45, 36.12951807228916)	(50, 36.0828313253012)	(55, 36.013253012048196)	(60, 36.16475903614458)	(65, 35.982831325301206)	(70, 35.822891566265056)	(75, 35.88493975903615)	(80, 35.861445783132524)	(85, 35.775)	(90, 35.93493975903615)	(95, 35.77078313253012)	(100, 35.88674698795181)	(105, 35.855120481927706)	(110, 36.1132530120482)	(115, 36.10240963855422)	(120, 36.022891566265066)	(125, 35.718674698795176)	(130, 35.816265060240966)	(135, 35.53403614457831)	(140, 35.753614457831326)	(145, 35.79879518072289)	(150, 35.52484939759036)
MaggieSimpson_R2_filtered	(1, 36.088855421686745)	(2, 35.730421686746986)	(3, 36.225903614457835)	(4, 36.015060240963855)	(5, 36.19879518072289)	(6, 36.1566265060241)	(7, 36.48343373493976)	(8, 36.41566265060241)	(9, 36.350903614457835)	(10, 36.30090361445783)	(15, 36.268975903614454)	(20, 36.31475903614457)	(25, 36.19578313253012)	(30, 36.19397590361446)	(35, 36.31716867469879)	(40, 36.19885306107626)	(45, 36.134890730972124)	(50, 36.07008289374529)	(55, 36.01220798794273)	(60, 36.16021100226074)	(65, 35.98990203466466)	(70, 35.82381311228335)	(75, 35.88018085908063)	(80, 35.86239638281839)	(85, 35.77154264740865)	(90, 35.945765818833515)	(95, 35.786050037907515)	(100, 35.904486888152896)	(105, 35.861956623703115)	(110, 36.108963510835)	(115, 36.11148731402581)	(120, 36.030903267372445)	(125, 35.71508946056808)	(130, 35.81926563029001)	(135, 35.48922400538042)	(140, 35.73768337036118)	(145, 35.82344113945857)	(150, 35.50405474512863)
MargeSimpson_R1	(1, 36.01807228915663)	(2, 36.09186746987952)	(3, 36.04066265060241)	(4, 35.97289156626506)	(5, 36.36746987951807)	(6, 36.56475903614458)	(7, 36.480421686746986)	(8, 36.28313253012048)	(9, 36.506024096385545)	(10, 36.44427710843373)	(15, 36.34246987951807)	(20, 36.4566265060241)	(25, 36.13343373493976)	(30, 36.12409638554217)	(35, 36.21656626506024)	(40, 36.158433734939756)	(45, 36.287650602409634)	(50, 36.15873493975904)	(55, 36.235542168674705)	(60, 36.40060240963855)	(65, 36.21355421686747)	(70, 36.0789156626506)	(75, 35.91536144578313)	(80, 36.102560240963854)	(85, 36.03042168674699)	(90, 36.02831325301205)	(95, 36.15481927710843)	(100, 36.00662650602409)	(105, 35.93493975903615)	(110, 35.88524096385542)	(115, 36.07831325301205)	(120, 35.92620481927711)	(125, 35.78975903614458)	(130, 35.880120481927705)	(135, 35.93765060240964)	(140, 35.87048192771084)	(145, 35.88825301204819)	(150, 36.03463855421687)
MargeSimpson_R1_filtered	(1, 36.01807228915663)	(2, 36.09186746987952)	(3, 36.04066265060241)	(4, 35.97289156626506)	(5, 36.36746987951807)	(6, 36.56475903614458)	(7, 36.480421686746986)	(8, 36.28313253012048)	(9, 36.506024096385545)	(10, 36.44427710843373)	(15, 36.34246987951807)	(20, 36.4566265060241)	(25, 36.13343373493976)	(30, 36.12409638554217)	(35, 36.21656626506024)	(40, 36.158433734939756)	(45, 36.287650602409634)	(50, 36.15873493975904)	(55, 36.235542168674705)	(60, 36.400339564739745)	(65, 36.21296156744536)	(70, 36.077684158122125)	(75, 35.91372549019608)	(80, 36.10120663650075)	(85, 36.028658074645755)	(90, 36.02053647362925)	(95, 36.15041825095057)	(100, 36.02292372716437)	(105, 35.93319036314541)	(110, 35.89079754601227)	(115, 36.06387599967534)	(120, 35.944160489311045)	(125, 35.79301909125454)	(130, 35.91223587629008)	(135, 35.9338049045478)	(140, 35.895543822671854)	(145, 35.89936686521317)	(150, 36.020211796295754)
MargeSimpson_R2	(1, 36.1094674556213)	(2, 35.79585798816568)	(3, 35.95414201183432)	(4, 35.875739644970416)	(5, 36.15828402366864)	(6, 36.34319526627219)	(7, 36.155325443786985)	(8, 36.27218934911242)	(9, 35.88609467455621)	(10, 36.253550295857984)	(15, 36.25029585798817)	(20, 36.27426035502959)	(25, 36.258284023668644)	(30, 36.350591715976336)	(35, 36.14970414201183)	(40, 36.299704142011834)	(45, 36.29940828402367)	(50, 36.07218934911243)	(55, 36.02100591715976)	(60, 36.064201183431955)	(65, 35.96005917159763)	(70, 36.06508875739645)	(75, 36.10236686390532)	(80, 36.06094674556213)	(85, 36.131065088757396)	(90, 35.838461538461544)	(95, 35.784319526627215)	(100, 35.97485207100592)	(105, 35.779289940828406)	(110, 35.65591715976332)	(115, 35.646153846153844)	(120, 35.72603550295858)	(125, 35.744082840236686)	(130, 35.58195266272189)	(135, 35.77633136094674)	(140, 35.586982248520705)	(145, 35.67662721893491)	(150, 35.694526627218934)
MargeSimpson_R2_filtered	(1, 36.131024096385545)	(2, 35.911144578313255)	(3, 36.00903614457831)	(4, 35.873493975903614)	(5, 36.21536144578313)	(6, 36.31325301204819)	(7, 36.149096385542165)	(8, 36.3222891566265)	(9, 35.99246987951807)	(10, 36.25933734939759)	(15, 36.253614457831326)	(20, 36.26475903614458)	(25, 36.267168674698794)	(30, 36.34006024096386)	(35, 36.165662650602414)	(40, 36.29849397590361)	(45, 36.29096385542169)	(50, 36.06144578313253)	(55, 35.99969879518072)	(60, 36.04084423602473)	(65, 35.953127354935944)	(70, 36.07765869781917)	(75, 36.11282051282051)	(80, 36.09110105580694)	(85, 36.115256673464295)	(90, 35.88365295960581)	(95, 35.76684410646388)	(100, 35.94779180124989)	(105, 35.76873916702688)	(110, 35.63021354593688)	(115, 35.6671069532928)	(120, 35.73574145592482)	(125, 35.78328948099197)	(130, 35.60736972661821)	(135, 35.74011976471341)	(140, 35.64125652623072)	(145, 35.74422488187194)	(150, 35.685310416079645)
PattyBouvier_R1	(1, 36.222727272727276)	(2, 35.99393939393939)	(3, 36.31818181818182)	(4, 36.17121212121212)	(5, 36.58181818181818)	(6, 36.35)	(7, 36.525757575757574)	(8, 36.43333333333333)	(9, 36.554545454545455)	(10, 36.42060606060606)	(15, 36.32060606060606)	(20, 36.35606060606061)	(25, 36.38636363636364)	(30, 36.3160606060606)	(35, 36.42090909090909)	(40, 36.28575757575758)	(45, 36.22090909090909)	(50, 36.220909090909096)	(55, 36.24787878787879)	(60, 36.17060606060606)	(65, 35.89212121212121)	(70, 36.025151515151514)	(75, 36.09121212121212)	(80, 35.979393939393944)	(85, 36.150909090909096)	(90, 36.338181818181816)	(95, 36.20757575757576)	(100, 35.948787878787876)	(105, 36.027575757575754)	(110, 35.941515151515155)	(115, 35.99666666666667)	(120, 35.724848484848486)	(125, 35.790909090909096)	(130, 36.026969696969694)	(135, 35.79)	(140, 35.80393939393939)	(145, 35.70242424242424)	(150, 35.609848484848484)
PattyBouvier_R1_filtered	(1, 36.24242424242424)	(2, 36.053030303030305)	(3, 36.32727272727273)	(4, 36.18030303030303)	(5, 36.60909090909091)	(6, 36.29090909090909)	(7, 36.53636363636364)	(8, 36.46212121212121)	(9, 36.52424242424242)	(10, 36.43030303030302)	(15, 36.334848484848486)	(20, 36.36030303030303)	(25, 36.38393939393939)	(30, 36.30969696969697)	(35, 36.42393939393939)	(40, 36.269951983826125)	(45, 36.20424564063684)	(50, 36.22001516300227)	(55, 36.25155420773313)	(60, 36.176345716451856)	(65, 35.88486692015209)	(70, 36.05944117427079)	(75, 36.084666731499965)	(80, 35.977947932618676)	(85, 36.13108728943339)	(90, 36.332309187525205)	(95, 36.23088068953303)	(100, 35.967205542725175)	(105, 36.02848314008311)	(110, 35.93749700133084)	(115, 35.9689119128942)	(120, 35.77317575167989)	(125, 35.83414422066534)	(130, 36.05921636591361)	(135, 35.83711375531493)	(140, 35.79976102242759)	(145, 35.72814920405734)	(150, 35.57140328650743)
PattyBouvier_R2	(1, 36.205357142857146)	(2, 36.22767857142857)	(3, 36.37797619047619)	(4, 36.285714285714285)	(5, 36.592261904761905)	(6, 36.382440476190474)	(7, 36.535714285714285)	(8, 36.482142857142854)	(9, 36.354166666666664)	(10, 36.166666666666664)	(15, 36.29226190476191)	(20, 36.37380952380952)	(25, 36.147619047619045)	(30, 36.21934523809524)	(35, 36.19940476190477)	(40, 36.1735119047619)	(45, 36.08154761904762)	(50, 36.14375)	(55, 36.172916666666666)	(60, 36.305952380952384)	(65, 36.083035714285714)	(70, 35.952083333333334)	(75, 36.08958333333334)	(80, 35.96696428571428)	(85, 35.691071428571426)	(90, 35.98571428571429)	(95, 36.02380952380952)	(100, 36.05357142857143)	(105, 35.96577380952381)	(110, 35.76309523809524)	(115, 35.79434523809523)	(120, 35.949107142857144)	(125, 36.117261904761904)	(130, 35.878273809523805)	(135, 35.58690476190476)	(140, 35.75654761904762)	(145, 35.52827380952381)	(150, 35.74181547619048)
PattyBouvier_R2_filtered	(1, 36.2)	(2, 36.18636363636364)	(3, 36.36666666666667)	(4, 36.27272727272727)	(5, 36.584848484848486)	(6, 36.371212121212125)	(7, 36.54545454545455)	(8, 36.472727272727276)	(9, 36.35151515151515)	(10, 36.1869696969697)	(15, 36.28303030303031)	(20, 36.369696969696975)	(25, 36.17030303030303)	(30, 36.234242424242424)	(35, 36.17848484848484)	(40, 36.15804833781331)	(45, 36.065049279757396)	(50, 36.132373009855954)	(55, 36.17695223654283)	(60, 36.31736163760425)	(65, 36.068288973384036)	(70, 35.9436250976139)	(75, 36.133066735718025)	(80, 35.95436447166922)	(85, 35.70535987748851)	(90, 35.9611805488489)	(95, 35.99663592892143)	(100, 36.03317383310598)	(105, 35.971850640454335)	(110, 35.74644265366825)	(115, 35.771606288831364)	(120, 35.93780745670513)	(125, 36.16308352515314)	(130, 35.880672719443886)	(135, 35.536856866926705)	(140, 35.788814210448564)	(145, 35.646977165892125)	(150, 35.78199919549477)
SelmaBouvier_R1	(1, 36.338855421686745)	(2, 36.04066265060241)	(3, 35.71536144578313)	(4, 36.015060240963855)	(5, 36.38704819277108)	(6, 36.48192771084337)	(7, 36.28463855421687)	(8, 36.68825301204819)	(9, 36.53765060240964)	(10, 36.341566265060244)	(15, 36.52710843373494)	(20, 36.41897590361445)	(25, 36.3605421686747)	(30, 36.357228915662645)	(35, 36.33343373493976)	(40, 36.50481927710843)	(45, 36.42650602409638)	(50, 36.168072289156626)	(55, 36.24337349397591)	(60, 36.13463855421686)	(65, 36.22620481927711)	(70, 36.20210843373494)	(75, 36.082530120481934)	(80, 36.27951807228916)	(85, 35.93614457831325)	(90, 36.047590361445785)	(95, 36.046987951807225)	(100, 35.99397590361446)	(105, 35.90542168674699)	(110, 36.03493975903614)	(115, 36.03734939759036)	(120, 36.227409638554214)	(125, 36.216566265060244)	(130, 35.86114457831325)	(135, 36.06777108433735)	(140, 35.74548192771084)	(145, 35.96746987951808)	(150, 36.34939759036145)
SelmaBouvier_R1_filtered	(1, 36.338855421686745)	(2, 36.04066265060241)	(3, 35.71536144578313)	(4, 36.015060240963855)	(5, 36.38704819277108)	(6, 36.48192771084337)	(7, 36.28463855421687)	(8, 36.68825301204819)	(9, 36.53765060240964)	(10, 36.341566265060244)	(15, 36.52710843373494)	(20, 36.41897590361445)	(25, 36.3605421686747)	(30, 36.357228915662645)	(35, 36.33343373493976)	(40, 36.50481927710843)	(45, 36.42650602409638)	(50, 36.168072289156626)	(55, 36.24337349397591)	(60, 36.13463855421686)	(65, 36.22620481927711)	(70, 36.20210843373494)	(75, 36.08045283018868)	(80, 36.27758376560452)	(85, 35.93157682886947)	(90, 36.06425045640965)	(95, 36.047197514387996)	(100, 35.98402929130111)	(105, 35.938386408414196)	(110, 36.02385360738377)	(115, 36.05737813844562)	(120, 36.21055837041601)	(125, 36.17270248948728)	(130, 35.84216113312491)	(135, 36.05657841551917)	(140, 35.80812160481561)	(145, 35.91803553302383)	(150, 36.367436083727156)
SelmaBouvier_R2	(1, 35.8698224852071)	(2, 35.94082840236686)	(3, 36.412721893491124)	(4, 36.353550295857985)	(5, 35.8594674556213)	(6, 36.33431952662722)	(7, 36.357988165680474)	(8, 36.428994082840234)	(9, 36.68491124260355)	(10, 36.48254437869822)	(15, 36.31479289940829)	(20, 36.30029585798817)	(25, 36.25355029585799)	(30, 36.21627218934911)	(35, 36.266863905325444)	(40, 36.02041420118343)	(45, 36.24082840236686)	(50, 36.23609467455621)	(55, 35.99260355029586)	(60, 36.15562130177515)	(65, 35.997337278106514)	(70, 36.03136094674556)	(75, 35.87278106508875)	(80, 36.038757396449704)	(85, 36.097041420118344)	(90, 36.11183431952663)	(95, 35.71272189349113)	(100, 35.98224852071006)	(105, 35.78165680473373)	(110, 35.72100591715976)	(115, 35.716568047337276)	(120, 35.83520710059172)	(125, 35.62781065088757)	(130, 35.92662721893491)	(135, 35.56508875739645)	(140, 35.84556213017751)	(145, 35.555325443786984)	(150, 35.555473372781066)
SelmaBouvier_R2_filtered	(1, 35.84939759036145)	(2, 35.93072289156626)	(3, 36.411144578313255)	(4, 36.359939759036145)	(5, 35.911144578313255)	(6, 36.3222891566265)	(7, 36.346385542168676)	(8, 36.4277108433735)	(9, 36.68825301204819)	(10, 36.48042168674699)	(15, 36.30783132530121)	(20, 36.31656626506024)	(25, 36.24789156626506)	(30, 36.21777108433734)	(35, 36.253614457831326)	(40, 36.00271084337349)	(45, 36.22710843373494)	(50, 36.2222891566265)	(55, 35.98192771084338)	(60, 36.1671686746988)	(65, 36.00271084337349)	(70, 36.02168674698795)	(75, 35.94067924528302)	(80, 36.038629880864164)	(85, 36.08377270720936)	(90, 36.102043712143676)	(95, 35.68966113972018)	(100, 35.99187012864247)	(105, 35.80007401687443)	(110, 35.722689882209764)	(115, 35.7040509776156)	(120, 35.825366657903196)	(125, 35.63101252242509)	(130, 35.95466136119372)	(135, 35.50605842210279)	(140, 35.80022216907164)	(145, 35.496360929840975)	(150, 35.6244628909168)
